Xr,Yr,Zr,KFx,KFy,KFz
-64.206375,7.326688,0.12622,-64.8430701202,8.6452888244,-0.376986699545
-65.094284,7.326688,0.290793,-65.697853641,8.6188998354,-0.465916671007
-65.623459,7.326688,0.405583,-66.4430911074,8.68836959951,-0.446454012519
-66.370918,7.326688,0.723781,-67.1316590289,8.81332627911,-0.349186285846
-66.946617,7.326688,0.984936,-67.7662977768,8.98207285088,-0.193318591011
-67.527466,7.326688,1.33163,-68.3524919929,9.19015443301,0.0258470539434
-68.088867,7.326688,1.710312,-68.9121841982,9.41496743459,0.284440779662
-68.547485,7.326688,2.144844,-69.4357204035,9.66126013138,0.588902118398
-68.982964,7.326688,2.710826,-69.9111958795,9.93808804968,0.955642139533
-69.276367,7.326688,3.268336,-70.3397929799,10.2392816818,1.37476382268
-69.401894,7.326688,3.508089,-70.7659068332,10.5098117967,1.77474221192
-69.905205,7.326688,4.44883,-71.1549723543,10.8082507159,2.24996944711
-70.220032,7.326688,5.041568,-71.547065935,11.0846035316,2.7280467018
-70.418831,7.326688,5.445596,-71.9428770047,11.3314357697,3.19328802432
-70.665215,7.326688,6.219374,-72.3068115476,11.5888876626,3.70440246084
-70.812325,7.326688,7.663623,-72.5030865603,11.9877170407,4.42590323664
-70.712639,7.326688,8.942077,-72.5706431165,12.4781385079,5.29567463349
-70.718445,7.326688,9.16205,-72.7782365266,12.7991506912,5.99451367484
-71.064888,7.326688,9.914005,-73.0699965653,13.0236114589,6.62457308379
-71.560806,7.326688,10.6576,-73.4508957898,13.1565379783,7.18837814941
-71.94339,7.326688,11.215268,-73.8887494052,13.2232550388,7.69999570028
-72.257477,7.326688,11.813543,-74.3294330751,13.2743191787,8.21137968214
-72.558083,7.326688,12.470382,-74.7557252785,13.3279132324,8.74461910399
-72.831535,7.326688,13.040319,-75.1713901768,13.3776345249,9.28756189118
-73.09404,7.326688,13.565138,-75.5742610329,13.4281717064,9.84094012166
-73.499016,7.326688,14.216331,-75.9718203803,13.4784275095,10.4103332432
-73.725105,7.326688,14.854436,-76.3307185867,13.5531190292,11.018356282
-73.930084,7.326688,15.499995,-76.6537778984,13.6490392965,11.6638085455
-74.134926,7.326688,16.145605,-76.9534612478,13.7535204086,12.3310670699
-74.338936,7.326688,16.838617,-77.2261698006,13.8720796624,13.0268389309
-74.425903,7.326688,17.418438,-77.4808760424,13.9903951524,13.731701658
-74.493118,7.326688,18.13777,-77.6961623507,14.1284103777,14.4715005147
-74.59848,7.326688,18.767651,-77.9267862671,14.2348792334,15.1900357151
-74.712723,7.326688,18.992838,-78.2262199733,14.2575892606,15.8165323699
