Xr,Yr,Zr,KFx,KFy,KFz,DRx,DRy,DRz
-47.703667,7.200263,-0.153536,-50.65040741,7.9929928,1.990892728,-46.38156589,6.258606569,-0.048939002
-48.002144,7.3205,-0.181299,-51.04555884,8.221243392,1.972235133,-46.67811066,6.437806161,-0.059966264
-48.44833,7.326688,-0.201833,-51.49058351,8.387412541,1.901916692,-47.09413123,6.636752409,-0.084506646
-49.069454,7.326688,-0.32959,-52.02669914,8.465709227,1.748012594,-47.48622434,6.796391103,-0.146556171
-49.677402,7.326688,-0.41209,-52.60505045,8.501787584,1.557749641,-47.83557764,6.922018534,-0.177914492
-50.834099,7.326688,-0.45972,-53.33006103,8.427564759,1.265130176,-48.46202524,7.03898571,-0.216299038
-53.269051,7.326688,-0.359798,-54.42384778,8.100587421,0.736804979,-49.5418891,7.134996389,-0.221861785
-54.306263,7.326688,-0.307006,-55.42748682,7.884933797,0.334195921,-49.95737381,7.193228988,-0.258100176
-55.072842,7.326688,-0.266686,-56.2970915,7.807838644,0.081740405,-50.69464234,7.23496384,-0.28344794
-55.163002,7.326688,-0.261566,-56.93090769,7.926645711,0.034544379,-51.57263018,7.269216243,-0.304080347
-56.466763,7.326688,-0.14226,-57.65693819,7.99121152,-0.052366405,-52.78941171,7.288547931,-0.264971233
-57.219181,7.326688,0.000337,-58.33105214,8.108383886,-0.069217977,-53.60072504,7.301416433,-0.224447016
-58.123211,7.326688,0.226458,-59.01035724,8.230462375,-0.057993489,-54.53777557,7.310236269,-0.14514468
-58.595669,7.326688,0.341884,-59.61616727,8.413346119,0.02494096,-55.15346793,7.315071005,-0.106594435
-59.339191,7.326688,0.650279,-60.21315933,8.603737059,0.139785893,-56.12227834,7.319133705,0.056748999
-60.004116,7.326688,0.555382,-60.87415246,8.72693718,0.186347229,-56.96790043,7.32184731,0.06857458
-60.490601,7.326688,0.228952,-61.58145868,8.788181403,0.1567492,-57.59082604,7.323360065,0.054757879
-61.051178,7.326688,-0.150635,-62.34211315,8.787730599,0.048387746,-58.29340501,7.324421998,0.062784247
-61.585152,7.326688,-0.348683,-63.08689717,8.791288591,-0.06192991,-59.12311245,7.325333483,0.106581346
-63.007614,7.326688,-0.095953,-63.94258626,8.727288656,-0.219659922,-60.06047801,7.325824333,0.212680196
-64.206375,7.326688,0.12622,-64.84307012,8.645288824,-0.3769867,-60.71704218,7.326105874,0.196954587
-65.094284,7.326688,0.290793,-65.69785364,8.618899835,-0.465916671,-61.47628518,7.326323278,0.149329326
-65.623459,7.326688,0.405583,-66.44309111,8.6883696,-0.446454013,-62.26239336,7.32646971,0.135602405
